title;rating;no_genres_listed;action;adventure;animation;children;comedy;fantasy;IMAX;romance;sci-Fi;western;crime;mystery;thriller;drama;horror;film-Noir;documentary;war;musical
Black Sheep (1996);3,15625;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nick of Time (1995);3,25;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Mary Reilly (1996);2,625;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
Vampire in Brooklyn (1995);2,833333333;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Beautiful Girls (1996);3,95;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Broken Arrow (1996);3,023809524;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
In the Bleak Midwinter (1995);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hate (Haine, La) (1995);3,9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Heidi Fleiss: Hollywood Madam (1995);5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
City Hall (1996);2,785714286;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Bottle Rocket (1996);3,782608696;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Mr. Wrong (1996);2,4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unforgettable (1996);3;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
Happy Gilmore (1996);3,439393939;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bridges of Madison County, The (1995);3,282608696;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Nobody Loves Me (Keiner liebt mich) (1994);4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Muppet Treasure Island (1996);3,326923077;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Catwalk (1996);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Braveheart (1995);4,03164557;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Taxi Driver (1976);4,105769231;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Rumble in the Bronx (Hont faan kui) (1995);3,543478261;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Before and After (1996);3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Anne Frank Remembered (1995);3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Young Poisoner's Handbook, The (1995);3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
If Lucy Fell (1996);2,5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Steal Big, Steal Little (1995);3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boys of St. Vincent, The (1992);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Boomerang (1992);2,65625;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Chungking Express (Chung Hing sam lam) (1994);4,375;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
Flirting With Disaster (1996);3,583333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NeverEnding Story III, The (1994);2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Jupiter's Wife (1994);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Pie in the Sky (1996);2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Jade (1995);2,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Down Periscope (1996);2,951612903;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Man of the Year (1995);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Up Close and Personal (1996);3,5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Birdcage, The (1996);3,494186047;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brothers McMullen, The (1995);3,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bad Boys (1995);3,245098039;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Amazing Panda Adventure, The (1995);3,333333333;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basketball Diaries, The (1995);3,466666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Awfully Big Adventure, An (1995);5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Amateur (1994);2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Apollo 13 (1995);3,845771144;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Rob Roy (1995);3,545454545;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
Addiction, The (1995);1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Batman Forever (1995);2,916058394;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Beauty of the Day (Belle de jour) (1967);3,875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Beyond Rangoon (1995);2,416666667;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Blue in the Face (1995);3,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Canadian Bacon (1995);2,863636364;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Casper (1995);2,806451613;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clockers (1995);2,892857143;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0
Congo (1995);2,877192982;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Crimson Tide (1995);3,63592233;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
Crumb (1994);4,205882353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Desperado (1995);3,560606061;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Devil in a Blue Dress (1995);3,321428571;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0
Die Hard: With a Vengeance (1995);3,555555556;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Doom Generation, The (1995);2,833333333;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
First Knight (1995);3,083333333;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Free Willy 2: The Adventure Home (1995);2,4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hackers (1995);3,228571429;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Jeffrey (1995);3,833333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Johnny Mnemonic (1995);2,679245283;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Judge Dredd (1995);2,669354839;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Jury Duty (1995);2,7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kids (1995);3,975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Living in Oblivion (1995);4,307692308;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lord of Illusions (1995);2,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Love & Human Remains (1993);1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mad Love (1995);1,5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Mallrats (1995);3,402777778;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mighty Morphin Power Rangers: The Movie (1995);2,264705882;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mute Witness (1994);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Nadja (1994);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Net, The (1995);3,040178571;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Nine Months (1995);2,822916667;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Party Girl (1995);4,125;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prophecy, The (1995);3,458333333;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
Reckless (1995);3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Safe (1995);2,8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Scarlet Letter, The (1995);2,416666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Showgirls (1995);2,471428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Smoke (1995);3,666666667;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Something to Talk About (1995);3,1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Species (1995);2,666666667;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Strange Days (1995);3,25;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);4,125;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
Three Wishes (1995);3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Total Eclipse (1995);3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
To Wong Foo, Thanks for Everything! Julie Newmar (1995);3,431818182;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Under Siege 2: Dark Territory (1995);2,716666667;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unstrung Heroes (1995);3,166666667;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Unzipped (1995);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Walk in the Clouds, A (1995);3,428571429;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Waterworld (1995);2,913043478;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
White Man's Burden (1995);3,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Wild Bill (1995);3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Browning Version, The (1994);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Bushwhacked (1995);3;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Burnt by the Sun (Utomlyonnye solntsem) (1994);3,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Before the Rain (Pred dozhdot) (1994);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Before Sunrise (1995);4,041666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Billy Madison (1995);3,326530612;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Babysitter, The (1995);2,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Boys on the Side (1995);3,428571429;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Cure, The (1995);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Castle Freak (1995);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Circle of Friends (1995);3,75;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Clerks (1994);3,855769231;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Don Juan DeMarco (1995);3,6125;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Disclosure (1994);3,538461538;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Drop Zone (1994);2,863636364;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Destiny Turns on the Radio (1995);2,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Death and the Maiden (1994);3,428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Dolores Claiborne (1995);3,395833333;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Dumb & Dumber (Dumb and Dumber) (1994);3,060150376;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eat Drink Man Woman (Yin shi nan nu) (1994);3,892857143;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Exotica (1994);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Exit to Eden (1994);2,588235294;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ed Wood (1994);3,678571429;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
French Kiss (1995);3,477777778;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Forget Paris (1995);3,340909091;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Far From Home: The Adventures of Yellow Dog (1995);4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Goofy Movie, A (1995);3;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Hideaway (1995);2,375;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Fluke (1995);4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Farinelli: il castrato (1994);3,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Gordy (1995);3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoop Dreams (1994);4,293103448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Heavenly Creatures (1994);3,928571429;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Houseguest (1994);3,176470588;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Immortal Beloved (1994);3,722222222;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Heavyweights (Heavy Weights) (1995);2,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hunted, The (1995);3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I.Q. (1994);3,453488372;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Interview with the Vampire: The Vampire Chronicles (1994);3,458715596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Jefferson in Paris (1995);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Jerky Boys, The (1995);2,071428571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Junior (1994);2,828571429;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Just Cause (1995);3,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Kid in King Arthur's Court, A (1995);2,6;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Kiss of Death (1995);3,2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Star Wars: Episode IV - A New Hope (1977);4,231075697;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Little Women (1994);3,880952381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Little Princess, A (1995);3,904761905;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ladybird Ladybird (1994);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Like Water for Chocolate (Como agua para chocolate) (1992);3,939393939;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Legends of the Fall (1994);3,397058824;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0
Major Payne (1995);2,941176471;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Crazy Life (Mi vida loca) (1993);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Love Affair (1994);3,4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Losing Isaiah (1995);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Madness of King George, The (1994);3,758064516;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mary Shelley's Frankenstein (Frankenstein) (1994);2,946428571;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
Man of the House (1995);2,928571429;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mixed Nuts (1994);2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Milk Money (1994);3,25;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Miracle on 34th Street (1994);3,223684211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Miami Rhapsody (1995);1,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
